4200168270,NNX06AG86G,GSFC,RELATIONS BETWEEN HIGH-ENERGY AND LOER-FREQUENCY EMISSION IN BLAZARS,ALAN MARSCHER,JEAN SWANK,BOSTON UNIVERSITY,9/25/06,8/7/06,8/6/07,AWARDED,NO,2009AAS...21332603M,"http://labs.adsabs.harvard.edu/adsabs/api/record/2009AAS...21332603M?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Comprehensive Multi-waveband Monitoring of Gamma-ray Bright Blazars,American Astronomical Society Meeting Abstracts #213,"Marscher, Alan P.; Jorstad, S. G.; Larionov, V. M.; Chatterjee, R.; D'Arcangelo, F.; Manne-Nicholas, E.; Olmstead, A. R.; McHardy, I. M.; Agudo, I.; Gomez, J. L.; Aller, M. F.; Hagen-Thorn, V. A.; Gear, W. K.; Porter, D.",PI in authors,NONARTICLE; NOT REFEREED; ABSTRACT,no keywords
4200168270,NNX06AG86G,GSFC,RELATIONS BETWEEN HIGH-ENERGY AND LOER-FREQUENCY EMISSION IN BLAZARS,ALAN MARSCHER,JEAN SWANK,BOSTON UNIVERSITY,9/25/06,8/7/06,8/6/07,AWARDED,NO,2008A&A...492..389L,"http://labs.adsabs.harvard.edu/adsabs/api/record/2008A&A...492..389L?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o","Results of WEBT, VLBA and RXTE monitoring of 3C 279 during 2006-2007",Astronomy and Astrophysics,"Larionov, V. M.; Jorstad, S. G.; Marscher, A. P.; Raiteri, C. M.; Villata, M.; Agudo, I.; Aller, M. F.; Arkharov, A. A.; Asfandiyarov, I. M.; Bach, U.; Bachev, R.; Berdyugin, A.; B&#246;ttcher, M.; Buemi, C. S.; Calcidese, P.; Carosati, D.; Charlot, P.; Chen, W. -P.; di Paola, A.; Dolci, M.; Dogru, S.; Doroshenko, V. T.; Efimov, Yu. S.; Erdem, A.; Frasca, A.; Fuhrmann, L.; Giommi, P.; Glowienka, L.; Gupta, A. C.; Gurwell, M. A.; Hagen-Thorn, V. A.; Hsiao, W. -S.; Ibrahimov, M. A.; Jordan, B.; Kamada, M.; Konstantinova, T. S.; Kopatskaya, E. N.; Kovalev, Y. Y.; Kovalev, Y. A.; Kurtanidze, O. M.; L&#228;hteenm&#228;ki, A.; Lanteri, L.; Larionova, L. V.; Leto, P.; Le Campion, P.; Lee, C. -U.; Lindfors, E.; Marilli, E.; McHardy, I.; Mingaliev, M. G.; Nazarov, S. V.; Nieppola, E.; Nilsson, K.; Ohlert, J.; Pasanen, M.; Porter, D.; Pursimo, T.; Ros, J. A.; Sadakane, K.; Sadun, A. C.; Sergeev, S. G.; Smith, N.; Strigachev, A.; Sumitomo, N.; Takalo, L. O.; Tanaka, K.; Trigilio, C.; Umana, G.; Ungerechts, H.; Volvach, A.; Yuan, W.",PI in authors,OPENACCESS; REFEREED; PUB_OPENACCESS; ARTICLE,galaxies active; galaxies quasars; galaxies quasars; galaxies: active; quasars: general; quasars: individual: <ASTROBJ>3C 279</ASTROBJ>; galaxies active; galaxies quasars; galaxies quasars
4200168270,NNX06AG86G,GSFC,RELATIONS BETWEEN HIGH-ENERGY AND LOER-FREQUENCY EMISSION IN BLAZARS,ALAN MARSCHER,JEAN SWANK,BOSTON UNIVERSITY,9/25/06,8/7/06,8/6/07,AWARDED,NO,2008AIPC.1085..427B,"http://labs.adsabs.harvard.edu/adsabs/api/record/2008AIPC.1085..427B?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Implications of the VHE &#947;-Ray Detection of 3C279,American Institute of Physics Conference Series,"B&#246;ttcher, M.; Reimer, Anita; Marscher, Alan P.",PI in authors,NOT REFEREED; TOC; INPROCEEDINGS,mirrors; instrumentation spectrographs; radiation; galaxies quasars; astrophysics; 07.85.Fv; 94.30.Xy; 98.54.Aj; X- and gamma-ray sources; mirrors; gratings; and detectors; Radiation belts; Quasars; Astrophysics; mirrors; instrumentation spectrographs; radiation; galaxies quasars; astrophysics
4200168270,NNX06AG86G,GSFC,RELATIONS BETWEEN HIGH-ENERGY AND LOER-FREQUENCY EMISSION IN BLAZARS,ALAN MARSCHER,JEAN SWANK,BOSTON UNIVERSITY,9/25/06,8/7/06,8/6/07,AWARDED,NO,2007AAS...211.0406D,"http://labs.adsabs.harvard.edu/adsabs/api/record/2007AAS...211.0406D?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Optical Monitoring of a Sample of Gamma-ray Blazars at the Maria Mitchell Observatory,American Astronomical Society Meeting Abstracts,"Donaldson, Jessica; Walker, G.; Strelnitski, V.; Jorstad, S.; Marscher, A.",PI in authors,NONARTICLE; NOT REFEREED; ABSTRACT,no keywords
4200177575,NNX06AI04G,GSFC,AN X-RAY STUDY OF HOT PLASMA N THE INTERACTING BINARY BETA LYRAE,RICHARD IGNACE,KOJI MUKAI,EAST TENNESSEE STATE UNIVERSITY,9/25/06,9/21/06,9/20/07,AWARDED,NO,2008A&A...477L..37I,"http://labs.adsabs.harvard.edu/adsabs/api/record/2008A&A...477L..37I?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Phase-dependent X-ray observations of the &#946; Lyrae system. No eclipse in the soft band,Astronomy and Astrophysics,"Ignace, R.; Oskinova, L. M.; Waldron, W. L.; Hoffman, J. L.; Hamann, W. -R.",PI in authors,OPENACCESS; REFEREED; PUB_OPENACCESS; ARTICLE,stars binaries close; stars binaries eclipsing; astronomy x rays; astrophysics; stars binaries close; stars binaries eclipsing; astronomy x rays; astrophysics; binaries: close; binaries: eclipsing; stars: individual: &#946; Lyrae; X-rays: binaries; Astrophysics
4200177575,NNX06AI04G,GSFC,AN X-RAY STUDY OF HOT PLASMA N THE INTERACTING BINARY BETA LYRAE,RICHARD IGNACE,KOJI MUKAI,EAST TENNESSEE STATE UNIVERSITY,9/25/06,9/21/06,9/20/07,AWARDED,NO,2006AAS...20923005I,"http://labs.adsabs.harvard.edu/adsabs/api/record/2006AAS...20923005I?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",An X-ray View of the Interacting Binary Beta Lyrae with Suzaku,American Astronomical Society Meeting Abstracts,"Ignace, Richard; Oskinova, L.; Waldron, W.; Hoffman, J.; Hamann, W.",PI in authors,NONARTICLE; NOT REFEREED; ABSTRACT,no keywords
4200160607,NNX06AC68G,GSFC,MODELING THE IMPACT OF STORM-TIME ELECTRODYNAMICS ON THE MID AND LOW LATITUDE,TIM FULLER-ROWELL,MADHULIKA GUHATHAKURTA,UNIVERSITY OF COLORADO AT BOULDER,9/26/06,9/21/06,9/20/09,AWARDED,NO,2010JGRA..11510311R,"http://labs.adsabs.harvard.edu/adsabs/api/record/2010JGRA..11510311R?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",On the ionospheric application of Poynting's theorem,Journal of Geophysical Research (Space Physics),"Richmond, A. D.",PI not found,REFEREED; ARTICLE,Ionosphere: Electric fields (2712); Ionosphere: Ionosphere/magnetosphere interactions (2736); Magnetospheric Physics: Field-aligned currents and current systems (2409); Ionosphere: Auroral ionosphere (2704); Ionosphere: Current systems (2721)
4200178521,NNX06AF30G,GSFC,GLOBAL AND ENVIRONMENTAL CHANGES,MENAS KAFATOS,DONALD ANDERSON,GEORGE MASON UNIVERSITY,9/26/06,10/1/06,9/30/08,AWARDED,YES,2009AnGeo..27.4505P,"http://labs.adsabs.harvard.edu/adsabs/api/record/2009AnGeo..27.4505P?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Melting of major Glaciers in the western Himalayas: evidence of climatic changes from long term MSU derived tropospheric temperature trend (1979-2008),Annales Geophysicae,"Prasad, A. K.; Yang, K. -H. S.; El-Askary, H. M.; Kafatos, M.",PI in authors,OPENACCESS; REFEREED; PUB_OPENACCESS; ARTICLE,no keywords
4200178521,NNX06AF30G,GSFC,GLOBAL AND ENVIRONMENTAL CHANGES,MENAS KAFATOS,DONALD ANDERSON,GEORGE MASON UNIVERSITY,9/26/06,10/1/06,9/30/08,AWARDED,YES,2009AnGeo..27.4171H,"http://labs.adsabs.harvard.edu/adsabs/api/record/2009AnGeo..27.4171H?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Black Carbon and West African Monsoon precipitation: observations and simulations,Annales Geophysicae,"Huang, J.; Adams, A.; Wang, C.; Zhang, C.",PI not found,OPENACCESS; REFEREED; PUB_OPENACCESS; ARTICLE,no keywords
4200178521,NNX06AF30G,GSFC,GLOBAL AND ENVIRONMENTAL CHANGES,MENAS KAFATOS,DONALD ANDERSON,GEORGE MASON UNIVERSITY,9/26/06,10/1/06,9/30/08,AWARDED,YES,2009AnGeo..27.3705W,"http://labs.adsabs.harvard.edu/adsabs/api/record/2009AnGeo..27.3705W?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",The sensitivity of tropical convective precipitation to the direct radiative forcings of black carbon aerosols emitted from major regions,Annales Geophysicae,"Wang, C.",PI not found,OPENACCESS; REFEREED; PUB_OPENACCESS; ARTICLE,no keywords
