PR Number,Grant Number,Pgrp / Center,Proposal Title,PI Name,Technical Officer,Institution,Award Date,Performance Start Date,Performance End Date,Status,Congressional Directed Item,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200147996,NNX06AB34G,HQ,VOYAGER 1 & 2 AT SATURN REVISITED,JOHN RICHARDSON,CURT NIEBUR,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,6/6/06,5/10/06,5/9/07,AWARDED,NO,no hits,"[{u'bibcode': u'2009IAUS..259..185L'}, {u'bibcode': u'2009A&A...497..273L'}]"
4200156759,NNX06AB60G,HQ,STUDY OF COMETARY ACTIVITY USING MEASUREMENTS BY THE SOLAR WIND ANISTROPIES (SWAN) INSTRUMENT SOHO,MICHAEL COMBI,CRAIG NIEBUR,UNIVERSITY OF MICHIGAN,6/6/06,5/10/06,5/9/09,AWARDED,NO,"[{u'bibcode': u'2010cosp...38..620C'}, {u'bibcode': u'2009DPS....41.1510C'}, {u'bibcode': u'2008DPS....40.1608C'}, {u'bibcode': u'2007DPS....39.5303C'}]"
4200156041,NNX06AB62G,HQ,FURTHER ANALYSIS AND CHARACTERIZATION OF SULFATESAND SULFIDES USING MULTIPLE SPECTRAL TECHNIQUES,MELISSA LANE,MARILYN LINDSTROM,PLANETARY SCIENCE INSTITUTE,6/6/06,6/1/06,5/31/09,AWARDED,NO,[{u'bibcode': u'2009LPI....40.2221D'}]
4200156156,NNX06AB25G,HQ,MINERALOGY & MICROSTRUCTURE OF BASALT WEATHERING RINDS AND THEIR SPECTRAL SIGNATURE IN THERMAL INFRA,THOMAS SHARP,MARILYN LINDSTROM,ARIZONA STATE UNIVERSITY,6/7/06,6/1/06,5/31/09,AWARDED,NO,"[{u'bibcode': u'2008Icar..196...90M'}, {u'bibcode': u'2007LPI....38.1871M'}, {u'bibcode': u'2007LPI....38.2198M'}]"
4200155119,NNX06AB47G,GSFC,THE TRANSITION FROM GAMMA-RAY BURST TO AFTERGLOW,TIMOTHY GIBLIN,FRANCIS MARSHALL,THE COLLEGE OF CHARLESTON,6/7/06,5/8/06,5/7/07,AWARDED,NO,no hits,"[{u'bibcode': u'2008Icar..196...90M'}, {u'bibcode': u'2007LPI....38.1871M'}, {u'bibcode': u'2007LPI....38.2198M'}]"
4200158820,NNX06AC03G,HQ,MODELING THE IMPACT OF STROMTIME ELECTRODYNAMICS ON THE MID AND LOW LATITUDE IONOSPHERE,STANISLAV SAZYKIN,MADHULIKA GUHATHAKURTA,WILLIAM RICE UNIVERSITY,6/7/06,5/24/06,5/23/09,AWARDED,NO,no hits,"[{u'bibcode': u'2008Icar..196...90M'}, {u'bibcode': u'2007LPI....38.1871M'}, {u'bibcode': u'2007LPI....38.2198M'}]"
4200159210,NNX06AC08G,GSFC,"PROPERTIES OF CONVECTIVE CLOUDS OVER THE EASTERN ATLANTIC, COMPARISON, WITH THE EAST PACIFIC AND HOW",EDWARD ZIPSER,RICHARD LAWRENCE,UNIVERSITY OF UTAH,6/7/06,6/1/06,5/31/09,AWARDED,NO,no hits,"[{u'bibcode': u'2008Icar..196...90M'}, {u'bibcode': u'2007LPI....38.1871M'}, {u'bibcode': u'2007LPI....38.2198M'}]"
4200159591,NNX06AC32G,HQ,ADVANCED FORECASTING METHODOLOGIES FOR SOLAR PARTICLE EVENT RADIATION EXPOSURES,LAWRENCE TOWNSEND,MADHULIKA GUHATHAKURTA,UNIVERSITY OF TENNESSEE,6/7/06,6/1/06,5/31/09,AWARDED,NO,no hits,"[{u'bibcode': u'2008Icar..196...90M'}, {u'bibcode': u'2007LPI....38.1871M'}, {u'bibcode': u'2007LPI....38.2198M'}]"
4200159643,NNX06AC34G,HQ,DEVELOPMENT OF A LIMB SCANNING OCCULTATION RECEIVER FORIONOSPHERIC/ATMOSPERIC REMOTE SENSING USING,MARK PSIAKI,MADHULIKA GUHATHAKURTA,CORNELL UNIVERSITY,6/7/06,5/25/06,5/24/09,AWARDED,NO,no hits,"[{u'bibcode': u'2008Icar..196...90M'}, {u'bibcode': u'2007LPI....38.1871M'}, {u'bibcode': u'2007LPI....38.2198M'}]"
4200159645,NNX06AC36G,HQ,MODELING THE 3D DENSITY STRUCTURE AND WHITE LIGHT APPEARANCE OF CME EVENTS,WARD MANCHESTER,MADHULIKA GUHATHAKURTA,UNIVERSITY OF MICHIGAN,6/7/06,6/1/06,5/31/09,AWARDED,NO,[{u'bibcode': u'2008JASTP..70..598L'}]
