Org Code,Action,Register Number,Award Number,Institution,City,State,Zip Code,Principal Investigator,Total Funding Planned,Total Funding to Date,Project Start Date,Project End Date,Most Recent Award Date,Title,Award Type,Program Manager,Institution Type
SC-22.11,Renewal,ER13937,DE-FG02-88ER13937,COLUMBIA UNIVERSITY                               ,New York,NY,10027-7922,"Flynn, George",100000,100000,7/1/12,6/30/13,7/24/12,Atomic Scale Imaging of the Electronic Structure and Chemistry of Graphene and its Precursors on Metal Surfaces,Grant,"Sisk, Wade",Educational
SC-22.13,Renewal,ER13938,DE-FG02-88ER13938,WISCONSIN UNIVERSITY OF MADISON                  ,Madison,WI,53715-1218,"Sussman, Michael",433605,144535,7/1/12,6/30/15,9/7/12,Molecular Mechanism of Energy Transduction by Plant Membrane Proteins,Grant,"Stack, Robert",Educational
SC-22.11,Renewal,ER13966,DE-FG02-88ER13966,YALE UNIVERSITY                                   ,New Haven,CT,06520-8337,"Smooke, Mitchell",813000,576000,6/1/11,2/28/15,9/26/11,Computational and Experimental Study of Laminar Flames,Grant,"Pederson, Mark",Educational
SC-22.13,Renewal,ER13968,DE-FG02-88ER13968,WISCONSIN UNIVERSITY OF MADISON                  ,Madison,WI,53715-1218,"Vierstra, Richard",540000,540000,4/15/10,4/14/13,6/17/10,Molecular Dissection of the Arabidopsis Holo-26S Proteasome,Grant,"Stack, Robert",Educational
SC-22.13,Renewal,ER14020,DE-FG02-89ER14020,PENNSYLVANIA STATE UNIVERSITY                     ,University Park,PA,16802-7000,"Maroncelli, Mark",75000,75000,4/15/11,4/14/12,6/16/11,Solvation and Charge Transfer in Ionic Liquids,Grant,"Spitler, Mark",Educational
SC-22.12,Renewal,ER14048,DE-FG02-89ER14048,CALIFORNIA UNIV. OF SANTA BARBARA                ,Santa Barbara,CA,93106-2050,"McFarland, Eric",630000,420000,7/1/11,6/30/14,9/26/11,Investigations of C-H Bond Activation and Doped Metal Oxide Catalysts,Grant,"Miranda, Raul",Educational
SC-22.11,Renewal,ER14104,DE-FG02-90ER14104,COLUMBIA UNIVERSITY                               ,New York,NY,10027-7922,"Osgood, Richard",361530,241020,6/1/11,5/31/14,9/13/11,Dynamics Studies of Photo- and Electron-Induced Reactions on Nanostructured Surfaces,Grant,"Fiechtner, Gregory",Educational
SC-22.12,Renewal,ER14146,DE-FG02-90ER14146,ILLINOIS UNIV. OF URBANA-CHAMPAIGN               ,Urbana,IL,61801,"Rauchfuss, Thomas",540000,360000,3/1/12,2/28/15,3/5/12,Supramolecular Ensembles in Catalysis,Grant,"Miranda, Raul",Educational
SC-22.11,Renewal,ER14151,DE-FG02-90ER14151,AKRON UNIVERSITY OF                              ,Akron,OH,44325,"Perry, David",379000,257000,7/1/11,6/30/14,9/12/11,The Dynamics of Large-Amplitude Motion in Energized Molecules,Grant,"Sisk, Wade",Educational
SC-22.11,Renewal,ER14189,DE-FG02-91ER14189,JOHNS HOPKINS UNIVERSITY                          ,Baltimore,MD,21218,"Yarkony, David",560000,240000,6/15/11,12/14/14,9/27/11,Theoretical Studies of the Reactions and the Spectroscopy of Radical Species Relevant to Combustion Reactions and Diagnostics,Grant,"Pederson, Mark",Educational
SC-22.12,Renewal,ER14244,DE-FG02-92ER14244,CHICAGO UNIVERSITY OF                            ,Chicago,IL,60637,"Sutton, Stephen",673430,447524,11/15/11,11/14/14,1/11/12,Synchrotron X-Ray Microprobe and Microspectroscopy Research In Low Temperature Geochemistry,Grant,"Woodward, Nicholas",Educational
SC-22.11,Renewal,ER14263,DE-FG02-92ER14263,CONNECTICUT UNIVERSITY OF                        ,Storrs,CT,06269-1133,"Gould, Phillip",375000,416909,4/1/10,3/31/13,3/18/10,Experiments in Ultracold Molecules,Grant,"Krause, Jeffrey",Educational
SC-22.12,Renewal,ER14273,DE-FG02-92ER14273,DELAWARE UNIVERSITY OF                           ,Newark,DE,19716,"Theopold, Klaus",495000,165000,9/1/12,8/31/15,9/11/12,Catalysis of Small Molecule Activation by Proton Coupled Electron Transfer,Grant,"Maupin, Paul",Educational
SC-22.11,Renewal,ER14299,DE-FG02-92ER14299,WESTERN MICHIGAN UNIVERSITY                       ,Kalamazoo,MI,49008-5456,"Berrah, Nora",600000,400000,6/15/11,6/14/14,9/15/11,Probing Complexity Using the LCLS and the ALS,Grant,"Krause, Jeffrey",Educational
SC-22.11,Renewal,ER14305,DE-FG02-92ER14305,CHICAGO UNIVERSITY OF                            ,Chicago,IL,60637,"Butler, Laurie",612000,286000,7/1/11,3/31/15,6/9/11,Dynamics of Product Branching in Elementary Combustion Reactions: OH + Alkenes and Nitrogen Chemistry,Grant,"Sisk, Wade",Educational
SC-22.12,Renewal,ER14315,DE-FG02-93ER14315,UTAH UNIVERSITY OF                               ,Salt Lake City,UT,84112-8930,"Miller, Jan",465000,310000,8/1/11,7/31/14,8/3/11,The Hydrophobic Character of Nonsulfide Mineral Surfaces as Influenced by Double-Bond Reactions of Adsorb of Adsorbed Unsaturated Collector Species...,Grant,"Rahn, Larry",Educational
SC-22.12,Renewal,ER14331,DE-FG02-93ER14331,RUTGERS - STATE UNIV OF NJ NEW BRUNSWICK         ,New Brunswick,NJ,8901,"Bartynski, Robert",510000,510000,2/15/11,2/14/14,7/19/11,Nanoscale Surface Chemistry and Electrochemistry of Clean and Metal-Covered Faceted Substrates: Structure Reactivity and Electronic Properties,Grant,"Miranda, Raul",Educational
SC-22.12,Renewal,ER14333,DE-FG02-93ER14333,UTAH UNIVERSITY OF                               ,Salt Lake City,UT,84112-8930,"Harris, Joel",434000,434000,6/1/11,5/31/14,7/1/11,Analytical Spectroscopy Methods for Liquid/Solid Interfaces,Grant,"Rahn, Larry",Educational
SC-22.12,Renewal,ER14339,DE-FG02-93ER14339,COLUMBIA UNIVERSITY                               ,New York,NY,10027-7922,"Parkin, Gerard",480000,160000,8/1/12,7/31/15,8/27/12,Fundamental Studies of Metal Centered Transformations Relevant to Catalysis,Grant,"Maupin, Paul",Educational
SC-22.12,Renewal,ER14389,DE-FG02-93ER14389,WISCONSIN UNIVERSITY OF MADISON                  ,Madison,WI,53715-1218,"Valley, John",767781,767781,4/1/10,3/31/13,6/15/10,Improved SIMS Analysis of d18O and d13C in Low Temperature Carbonates,Grant,"Woodward, Nicholas",Educational
SC-22.11,Renewal,ER14413,DE-SC0001190,COLORADO UNIVERSITY OF                           ,Boulder,CO,80303-1058,"Greene, Chris",435000,145000,5/1/12,4/30/15,6/5/12,Physics of Correlated Systems,Grant,"Krause, Jeffrey",Educational
SC-22.12,Renewal,ER14432,DE-FG02-94ER14432,RENSSELAER POLYTECHNIC INST.                      ,Troy,NY,12180-3590,"Watson, Bruce",749449,492916,11/1/11,10/31/14,3/27/12,The Role of Water in Grain Boundary Diffusion,Grant,"Woodward, Nicholas",Educational
SC-22.12,Renewal,ER14466,DE-FG02-94ER14466,CHICAGO UNIVERSITY OF                            ,Chicago,IL,60637,"Sutton, Stephen",4542282,1738601,8/15/11,8/14/16,9/6/11,GeoSoilEnviroCARS:  A National Resource for Earth Planetary Soil and Environmental Science Research at the Advanced Photon Source,Grant,"Woodward, Nicholas",Educational
SC-22.12,Renewal,ER14498,DE-FG02-95ER14498,BOSTON UNIVERSITY                                 ,Boston,MA,2215,"Klein, William",524981,524981,12/1/10,11/30/13,1/24/11,Statistical Mechanics of Defect-Mediated Dynamics in Complex Geomaterials,Grant,"Woodward, Nicholas",Educational
SC-22.12,Renewal,ER14511,DE-FG02-95ER14511,TEXAS A&M RESEARCH FOUNDATION                     ,College Station,TX,77845,"Rosynek, Michael",660000,660000,1/1/11,12/31/13,2/1/11,The Physical and Chemical Properties of Nanostructured Mixed-Metal Catalysts,Grant,"Miranda, Raul",Not-For-Profit Business
